Time,Open,High,Low,Last,Change,Volume
11/30/17,50.51,51.23,50.51,51.16,0.26,588985
11/29/17,52.13,52.63,50.75,50.9,-2.32,714900
11/28/17,53.1,53.34,52.86,53.22,-0.22,377800
11/27/17,53.41,53.96,53.41,53.44,0.89,355900
11/24/17,52.16,52.6,52.16,52.55,2,387200
11/22/17,50.4,50.56,50.19,50.55,0.72,281200
11/21/17,49.95,50,49.71,49.83,-0.228,223500
11/20/17,49.905,50.18,49.81,50.058,0.408,137500
11/17/17,49.84,49.88,49.65,49.65,-0.13,287900
11/16/17,49.685,49.88,49.53,49.78,2.05,358400
11/15/17,47.665,47.96,47.55,47.73,-1.67,304100
11/14/17,49.385,49.8,49.08,49.4,0.73,404200
11/13/17,48.41,48.77,48.215,48.67,0.24,372100
11/10/17,48.25,48.88,48.05,48.43,1.63,460800
11/09/17,47.14,47.22,46.55,46.8,-1.14,457700
11/08/17,47.7,47.94,47.6,47.94,1.03,170700
11/07/17,47.1,47.34,46.86,46.91,0.12,396900
11/06/17,46.84,46.84,46.6,46.79,-0.43,348100
11/03/17,47.3,47.34,46.95,47.22,0.020600000000002,388700
11/02/17,47.34,47.34,46.9,47.1994,-0.3006,277300
11/01/17,48.02,48.02,47.42,47.5,-1.15,613400
10/31/17,48.7,49.6137,48.6,48.65,-2.225,604900
10/30/17,49.255,51.74,49.08,50.875,3.215,1263900
10/27/17,46.8,47.7,46.8,47.66,0.88999999999999,507200
10/26/17,46.8,46.8,46.42,46.77,-0.73,304900
10/25/17,48,48.1,47.05,47.5,-1.21,1426700
10/24/17,48.56,48.8,48.55,48.71,0.21,288800
10/23/17,48.34,48.53,48.06,48.5,0.2,551800
10/20/17,48.175,48.44,48.01,48.3,0.27,254600
10/19/17,47.79,48.18,47.79,48.03,0.5,122500
10/18/17,47.8,47.8,47.49,47.53,-1.15,636800
10/17/17,48.66,48.77,48.55,48.68,-1,234800
10/16/17,49.615,49.71,49.55,49.68,0.079999999999998,303500
10/13/17,49.07,49.6,49.07,49.6,1.28,240500
10/12/17,48.67,48.83,48.23,48.32,-0.82,204500
10/11/17,48.75,49.16,48.75,49.14,0.86,221100
10/10/17,48.05,48.43,48.05,48.28,-0.19,184700
10/09/17,48.78,48.85,48.4,48.47,-0.2,120500
10/06/17,48.45,49.16,48.36,48.67,0.62,372000
10/05/17,47.545,48.25,47.54,48.05,1.3,385400
10/04/17,46.78,46.78,46.41,46.75,0.275,129900
10/03/17,46.25,46.6,46.1,46.475,0.325,213000
10/02/17,46.455,46.5,46.07,46.15,0.2,342200
09/29/17,46.15,46.3,45.86,45.95,-0.059999999999995,281400
09/28/17,46.2,46.2,45.78,46.01,0.52,188200
09/27/17,45.38,45.6,45.09,45.49,0.48,210300
09/26/17,44.955,45.28,44.82,45.01,0.079999999999998,331000
09/25/17,45.64,45.87,44.91,44.93,-0.69,970600
09/22/17,46,46,45.5,45.62,-0.98,440400
09/21/17,46.79,46.79,46.51,46.6,-1.1,325300
09/20/17,48.165,48.65,47.41,47.7,0.95,995200
09/19/17,45.85,46.79,45.7,46.75,2.67,1386500
09/18/17,44.35,44.672,43.95,44.08,-0.51000000000001,247100
09/15/17,43.79,44.65,43.51,44.59,1.55,712600
09/14/17,42.48,43.244,42.33,43.04,0.44,402700
09/13/17,43,43,42.6,42.6,-0.45,99300
09/12/17,42.99,43.24,42.96,43.05,0.81,316400
09/11/17,42.87,42.87,41.65,42.24,0.68,222800
09/08/17,41.58,41.63,41.53,41.56,0.66,90800
09/07/17,40.55,41,40.55,40.9,-0.196,117700
09/06/17,41.07,41.2,41,41.096,-0.054000000000002,112600
09/05/17,41.26,41.26,41,41.15,-0.71,199400
09/01/17,41.87,41.95,41.7,41.86,0.23,219000
08/31/17,41.39,41.73,41.39,41.63,0.23,109000
08/30/17,41.35,41.55,41.31,41.4,-0.4,115000
08/29/17,42.01,42.01,41.75,41.8,-0.42,87100
08/28/17,42.14,42.23,41.88,42.22,1.035,153200
08/25/17,41.1,41.3,41,41.185,0.085000000000001,74300
08/24/17,41.06,41.21,40.94,41.1,0,82000
08/23/17,41.1,41.21,41.05,41.1,-0.3199,60200
08/22/17,41.18,41.43,41.18,41.4199,0.4999,118500
08/21/17,40.85,41.04,40.83,40.92,-0.33,82200
08/18/17,41.11,41.39,41.11,41.25,0.039999999999999,76500
08/17/17,41.6,41.67,41.2001,41.21,-0.42,167500
08/16/17,41.5,41.67,41.37,41.63,0.21,70400
08/15/17,41.3,41.5,41.3,41.42,0.35,113200
08/14/17,41.2,41.24,40.95,41.07,-0.030000000000001,232100
08/11/17,40.825,41.15,40.51,41.1,0.49,284800
08/10/17,41.67,41.8,40.61,40.61,-1.65,288200
08/09/17,42.57,42.68,42.14,42.26,-0.67,333600
08/08/17,43,43.29,42.91,42.93,0.060000000000002,202900
08/07/17,42.9,42.95,42.8,42.87,0.41999999999999,410800
08/04/17,42.354,42.5,42.3,42.45,0.07,204500
08/03/17,42.35,42.38,42.18,42.38,0.020000000000003,173200
08/02/17,42.77,42.8899,42.16,42.36,0.295,474100
08/01/17,42.05,42.15,42,42.065,-0.395,202900
07/31/17,42.21,42.47,42.21,42.46,0.07,467700
07/28/17,42.16,42.4,41.95,42.39,0.039999999999999,290400
07/27/17,42.965,43.068,42.26,42.35,0.61,967800
07/26/17,41.24,42.2,41.01,41.74,2.36,862000
07/25/17,39.62,39.69,39.32,39.38,-1.445,560700
07/24/17,40.6,40.9,40.51,40.825,-0.88489999999999,172500
07/21/17,41.6,41.71,41.26,41.7099,0.1799,124300
07/20/17,41.66,41.82,41.47,41.53,-0.41,244600
07/19/17,41.885,42.12,41.79,41.94,1.15,385100
07/18/17,40.36,40.8,40.36,40.79,1.37,537100
07/17/17,39.7,39.88,39.42,39.42,-0.41,351600
07/14/17,39.8,39.87,39.6,39.83,-0.039999999999999,269100
07/13/17,39.91,40.01,39.71,39.87,-0.12,223300
07/12/17,39.69,40,39.65,39.99,0.54,316400
07/11/17,39.538,39.57,39.25,39.45,-0.66,334700
07/10/17,39.865,40.17,39.8,40.11,1.06,410000
07/07/17,38.56,39.2,38.56,39.05,0.68,480800
07/06/17,38.315,38.5,38.13,38.37,-0.76000000000001,444500
07/05/17,38.95,39.13,38.81,39.13,-1.57,862000
07/03/17,40.88,41.1,40.62,40.7,-1.12,283800
06/30/17,41.955,42,41.66,41.82,-0.14,377600
06/29/17,42.87,43.09,41.35,41.96,-0.71,1068800
06/28/17,42.23,42.876,42.07,42.67,-1.17,785600
06/27/17,43.95,44,43.7,43.84,-0.41,588600
06/26/17,43.71,44.33,43.71,44.25,1.04,706300
06/23/17,43.02,43.25,42.86,43.21,1.16,559000
06/22/17,41.9,42.1,41.9,42.05,0.435,346400
06/21/17,41.64,41.75,41.44,41.615,-0.067299999999996,370300
06/20/17,41.7,41.91,41.62,41.6823,0.1573,334100
06/19/17,41.535,41.619,41.3801,41.525,1.035,418800
06/16/17,40.585,40.69,40.45,40.49,-0.059999999999995,326900
06/15/17,40.885,40.91,40.45,40.55,0.925,1045100
06/14/17,39.745,39.8,39.54,39.625,0.375,450600
06/13/17,38.48,39.8,38.41,39.25,0.62,1613400
06/12/17,38.43,38.63,38.04,38.63,0.2,493500
06/09/17,39.38,39.74,37.96,38.43,-0.67,1450700
06/08/17,38.9,39.1,38.568,39.1,0.19,686000
06/07/17,39.13,39.22,38.9,38.91,-1.3,865500
06/06/17,39.48,40.36,39.23,40.21,1.125,1789500
06/05/17,38.8,39.1,38.75,39.085,1.247,570900
06/02/17,37.4601,37.84,37.46,37.838,0.768,361000
06/01/17,37.325,37.4,36.92,37.07,-0.76,1127300
05/31/17,38.05,38.09,37.75,37.83,-0.35,315600
05/30/17,37.8,38.39,37.8,38.18,0.63,611600
05/26/17,37.605,37.61,37.3,37.55,1.6,584000
05/25/17,35.62,36.08,35.62,35.95,0.40000000000001,364400
05/24/17,35.33,35.65,35.33,35.55,0.76,286900
05/23/17,34.445,34.85,34.39,34.79,0.5,382400
05/22/17,34.23,34.36,34.09,34.29,0.14,225700
05/19/17,34.08,34.19,33.9,34.15,0.11,255200
05/18/17,34,34.07,33.74,34.04,0.6,706400
05/17/17,33.82,33.9,33.21,33.44,0.41,893800
05/16/17,33.025,33.14,32.9,33.03,0.22,410900
05/15/17,32.825,32.9,32.69,32.81,0.435,239800
05/12/17,32.44,32.51,32.32,32.375,-0.015000000000001,148000
05/11/17,32.365,32.42,32.24,32.39,-0.034999999999997,293300
05/10/17,32.385,32.45,32.22,32.425,0.69,514200
05/09/17,31.645,31.82,31.52,31.735,-0.315,450300
05/08/17,31.95,32.06,31.91,32.05,-0.19,280300
05/05/17,31.67,32.24,31.65,32.24,0.57,723300
05/04/17,31.555,31.68,31.55,31.67,0.085000000000001,198300
05/03/17,31.55,31.6,31.5,31.585,0.025000000000002,187200
05/02/17,31.59,31.64,31.5,31.56,-0.09,333500
05/01/17,31.69,31.7,31.61,31.65,-0.030000000000001,197500
04/28/17,31.43,31.69,31.25,31.68,1.685,797000
04/27/17,30.195,30.28,29.77,29.995,-1.055,820900
04/26/17,31.05,31.15,30.74,31.05,-0.6,270600
04/25/17,31.615,31.65,31.47,31.65,0.55,743500
04/24/17,31.32,31.37,31.0675,31.1,0.18,289000
04/21/17,30.87,30.97,30.87,30.92,0.010000000000002,235200
04/20/17,30.75,31.06,30.74,30.91,-0.44,831800
04/19/17,31.1069,31.36,31.1,31.35,0.76,579600
04/18/17,30.53,30.65,30.53,30.59,0.13,143200
04/17/17,30.515,30.6,30.32,30.46,1.47,424100
04/13/17,28.895,29.15,28.88,28.99,-0.145,217900
04/12/17,29.06,29.25,29.06,29.135,0.035,76100
04/11/17,29.04,29.12,28.96,29.1,0.080000000000002,96300
04/10/17,28.935,29.03,28.93,29.02,-0.14,153900
04/07/17,29.055,29.31,28.93,29.16,-0.63,338800
04/06/17,29.813,29.876,29.65,29.79,0.49,165800
04/05/17,29.315,29.49,29.28,29.3,0,132500
04/04/17,29.316,29.76,29.22,29.3,-0.66,226100
04/03/17,30.091,30.1,29.82,29.96,0.94,174000
03/31/17,29.2,29.27,28.92,29.02,-0.127,184300
03/30/17,29.42,29.42,29,29.147,-0.728,174800
03/29/17,29.75,30,29.73,29.875,0.117,126200
03/28/17,29.62,30.2397,29.52,29.758,-0.706,248000
03/27/17,30.34,30.5,30.17,30.464,0.244,197500
03/24/17,30.265,30.76,30.07,30.22,-0.28,406300
03/23/17,30.37,30.65,30.08,30.5,-0.46,586700
03/22/17,30.44,30.96,30.43,30.96,1.92,809400
03/21/17,29.24,29.3,29.04,29.04,-0.37,709500
03/20/17,29.055,29.55,28.99,29.41,0.36,630700
03/17/17,28.345,29.58,28.3,29.05,1.31,1221500
03/16/17,27.64,27.81,27.64,27.74,0.34,298800
03/15/17,27.02,27.4,27.02,27.4,0.4,379500
03/14/17,26.956,27.1,26.87,27,-0.16,128600
03/13/17,27.38,27.38,27.1,27.16,0.31,129600
03/10/17,27,27,26.77,26.85,-0.009999999999998,236400
03/09/17,26.825,27.02,26.79,26.86,-0.4,385300
03/08/17,27.35,27.36,27.05,27.26,-0.4,423400
03/07/17,26.925,28.17,26.8,27.66,0.92,803800
03/06/17,26.59,26.74,26.48,26.74,0.7,306200
03/03/17,25.95,26.09,25.9,26.04,0.972,346500
03/02/17,25.085,25.25,25,25.068,-0.752,378400
03/01/17,26,26.01,25.61,25.82,-0.285,233100
02/28/17,26.25,26.35,26.06,26.105,-0.24,142800
02/27/17,26.086,26.43,26.086,26.345,0.155,177400
02/24/17,25.94,26.2,25.93,26.19,0.6,168300
02/23/17,25.75,25.79,25.57,25.59,-0.09,135800
02/22/17,25.58,25.734,25.45,25.68,0.11,141700
02/21/17,25.6769,25.7,25.32,25.57,-0.1,148600
02/17/17,25.9,25.9,25.5,25.67,0.305,179300
02/16/17,25.065,25.38,25.03,25.365,0.595,207000
02/15/17,24.75,24.906,24.68,24.77,-0.75,380800
02/14/17,25.665,25.8,25.18,25.52,-0.29,528800
02/13/17,26.034,26.17,25.79,25.81,-0.218,666700
02/10/17,26.05,26.1,26,26.028,-0.012,76600
02/09/17,25.8,26.09,25.67,26.04,0.175,93300
02/08/17,25.8345,25.95,25.8,25.865,-0.0050000000000026,113100
02/07/17,25.875,26,25.8,25.87,-0.54,112100
02/06/17,26.47,26.65,26.29,26.41,-0.29,106700
02/03/17,26.41,26.76,26.25,26.7,1.615,304400
02/02/17,25.028,25.16,24.89,25.085,0.085000000000001,114900
02/01/17,24.785,25.01,24.78,25,0.27,178400
01/31/17,25.3,25.55,24.12,24.73,-0.68,754400
01/30/17,25.405,25.64,25.33,25.41,0.02,720600
01/27/17,25.625,25.84,25.38,25.39,-0.42,169300
01/26/17,26.25,26.25,25.78,25.81,-0.44,132300
01/25/17,25.97,26.25,25.9501,26.25,0.295,219900
01/24/17,26.012,26.14,25.65,25.955,-0.015000000000001,483300
01/23/17,25.85,26.04,25.8,25.97,0.212,141000
01/20/17,25.8414,25.98,25.7,25.758,-0.372,145800
01/19/17,25.845,26.19,25.69,26.13,0.41,522400
01/18/17,25.99,25.99,25.69,25.72,-0.4,159400
01/17/17,25.955,26.15,25.84,26.12,0.27,227000
01/13/17,25.895,26.17,25.6701,25.85,-1.75,1615800
01/12/17,27.85,27.89,27.34,27.6,0.13,408400
01/11/17,27.26,27.48,27.05,27.47,0.47,467900
01/10/17,26.47,27.28,26.35,27,0.92,783700
01/09/17,26,26.08,25.894,26.08,0.079999999999998,334500
01/06/17,25.8,26,25.7201,26,0.16,369700
01/05/17,26.175,26.175,25.77,25.84,-0.32,147100
01/04/17,26.08,26.16,25.93,26.16,-0.030000000000001,236300
01/03/17,25.975,26.22,25.95,26.19,0.24,213800
12/30/16,26,26.25,25.9,25.95,0.009999999999998,211300
12/29/16,25.935,26.1,25.77,25.94,0.18,165200
12/28/16,26,26.09,25.73,25.76,-0.315,181500
12/27/16,25.845,26.2,25.84,26.075,1.037,276500
12/23/16,24.955,25.15,24.65,25.038,0.428,286300
12/22/16,24.94,25.074,24.44,24.61,-1.12,872000
12/21/16,26.15,26.295,25.36,25.73,-0.68,736100
12/20/16,26.1,26.69,26.1,26.41,0.37,775800
12/19/16,26.245,26.39,25.85,26.04,-1.07,859900
12/16/16,28.15,28.17,26.72,27.11,-2.245,2560800
12/15/16,29.555,29.59,29.35,29.355,-0.995,925900
12/14/16,30.55,30.71,30.28,30.35,-0.87,1026000
12/13/16,31.145,31.8,30.75,31.22,-0.87,711000
12/12/16,31.97,32.13,31.825,32.09,-0.009999999999998,593400
12/09/16,31.56,32.18,31.56,32.1,0.76,590500
12/08/16,30.92,31.41,30.9,31.34,0.35,890200
12/07/16,30.53,31,30.53,30.99,0.336,193000
12/06/16,30.21,30.74,30.21,30.654,0.724,110100
12/05/16,29.9,30.15,29.65,29.93,0.32,153700
12/02/16,29.87,29.87,29.52,29.61,-0.68,163200
12/01/16,30.6,30.6,30.23,30.29,-0.54,439500
11/30/16,30.9597,31.2,30.52,30.83,-0.39,495200
11/29/16,31.089,31.25,31,31.22,0.044999999999998,376700
11/28/16,31.225,31.45,31.05,31.175,0.185,220900
11/25/16,31.77,31.77,30.75,30.99,-1.01,389400
11/23/16,31.535,32.591,31.4,32,0.1,339900
11/22/16,31.225,31.98,31.225,31.9,0.62,231600
11/21/16,31.05,31.3,31,31.28,0.795,260600
11/18/16,30.1998,30.53,30.1998,30.485,0.345,261500
11/17/16,29.72,30.15,29.72,30.14,0.99,328100
11/16/16,29.2,29.21,28.905,29.15,0.37,669100
11/15/16,28.8,28.8,28.4,28.78,0.36,235000
11/14/16,28.385,28.75,28.3,28.42,-0.039999999999999,702600
11/11/16,28.31,28.61,28.17,28.46,-0.275,286100
11/10/16,28.6,28.99,28.6,28.735,-0.055,1171100
11/09/16,28.92,28.92,28.14,28.79,-0.44,763800
11/08/16,29.2,29.34,29.1,29.23,-0.27,179500
11/07/16,29.465,29.55,29.38,29.5,0.07,163800
11/04/16,29.75,29.75,29.4,29.43,-0.9,187500
11/03/16,30.31,30.44,30.31,30.33,0.079999999999998,159800
11/02/16,30.4761,30.67,30.17,30.25,0.15,116000
11/01/16,30.2058,30.3,29.93,30.1,0.010000000000002,215100
10/31/16,30.18,30.25,30.07,30.09,-0.080000000000002,245300
10/28/16,30.07,30.42,30.07,30.17,0.52,426200
10/27/16,29.56,29.76,29.465,29.65,1.62,436300
10/26/16,28.9,28.9,27.9,28.03,-1.55,739600
10/25/16,29.21,29.68,29.21,29.58,0.49,202700
10/24/16,29.1199,29.1199,28.73,29.09,-1.38,749100
10/21/16,30.4,30.7,30.33,30.47,-1.895,660700
10/20/16,32.09,32.832,32.09,32.365,0.775,1193800
10/19/16,31.5399,31.6,31.43,31.59,-0.039000000000001,234600
10/18/16,31.3454,31.69,31.28,31.629,0.399,221000
10/17/16,31.0979,31.23,31,31.23,-0.79,212600
10/14/16,31.72,32.232,31.72,32.02,0.8,504500
10/13/16,31.38,31.38,31.15,31.22,0.009999999999998,401400
10/12/16,31.38,31.38,31.1,31.21,-0.46,201500
10/11/16,31.7,31.7,31.4129,31.67,-0.755,328800
10/10/16,32.375,32.59,32.16,32.425,0.245,170100
10/07/16,32.325,32.62,31.92,32.18,0.382,116200
10/06/16,31.845,31.99,31.63,31.798,-0.744,119400
10/05/16,32.21,32.58,32.21,32.542,0.652,107300
10/04/16,31.8354,32.33,31.82,31.89,-0.595,232300
10/03/16,32.73,32.73,32.43,32.485,-0.495,176500
09/30/16,33.1,33.1,32.89,32.98,-0.23,550800
09/29/16,33.4,33.77,33.06,33.21,-0.53,181300
09/28/16,33.73,33.74,33.31,33.74,0.4,272200
09/27/16,33.285,33.5,33.03,33.34,0.36000000000001,288500
09/26/16,32.765,33.02,32.63,32.98,-0.49,246600
09/23/16,33.57,33.57,33.43,33.47,-0.19,195000
09/22/16,33.535,33.88,33.47,33.66,0.22,638400
09/21/16,33.105,33.44,33.1,33.44,-0.039999999999999,328900
09/20/16,33.45,33.58,33.32,33.48,0.61,477300
09/19/16,32.985,33.05,32.7715,32.87,0.12,194600
09/16/16,32.6684,33.2,32.63,32.75,-0.36,163900
09/15/16,32.52,33.25,32.52,33.11,1.51,396400
09/14/16,31.41,31.69,31.16,31.6,0.25,498600
09/13/16,31.48,31.93,31.09,31.35,-1.8,987700
09/12/16,32.88,33.16,32.49,33.15,0.25,522100
09/09/16,33.4,33.54,32.8,32.9,-0.975,874000
09/08/16,34.15,34.27,33.1,33.875,-2.445,3235900
09/07/16,30,36.55,30,36.32,8.12,7909300
09/06/16,28.35,28.35,27.9,28.2,-0.64,956100
09/02/16,28.75,28.9,28.52,28.84,0.826,609900
09/01/16,28,28.124,27.85,28.014,0.739,461000
08/31/16,27.2084,27.37,27.16,27.275,0.265,204200
08/30/16,27.0983,27.17,27,27.01,-0.32,256500
08/29/16,27.06,27.36,27.06,27.33,0.43,254900
08/26/16,26.95,27.29,26.78,26.9,-0.56,342100
08/25/16,27.54,27.54,27.4,27.46,-0.079999999999998,180800
08/24/16,27.79,27.88,27.45,27.54,-0.47,375800
08/23/16,28.305,28.305,28,28.01,-0.275,383700
08/22/16,28.11,28.4,28.11,28.285,0.455,364500
08/19/16,27.8014,27.84,27.3,27.83,-0.75,285100
08/18/16,28.485,28.67,28.32,28.58,0.57,397700
08/17/16,27.82,28.08,27.82,28.01,1.01,276700
08/16/16,27,27.095,26.82,27,-0.175,541800
08/15/16,27.16,27.34,27.16,27.175,-0.255,507200
08/12/16,27,27.5,26.5,27.43,-0.9,486400
08/11/16,28.275,28.42,28.21,28.33,0.059999999999999,404100
08/10/16,28.095,28.39,28,28.27,0.35,799900
